date,normal_rate,discount_type,discount_ammout,post_discount,adjustment,billing,status,gender,city,state,program,room,schedule
8/1/2022,1000,Family,-1000,0,0,0,Inactive,male,,,Lower Elementary,,5SD
8/1/2022,1050,Family,-200,850,-42.5,807.5,Inactive,female,,,Primary,,FD
8/1/2022,1000,Family,-300,700,-700,0,Inactive,female,,,Lower Elementary,,5SD
8/1/2022,1050,Healthcare,-52.5,997.5,0,997.5,Active,male,Garland, Texas,Primary,Chevalier,FD
8/1/2022,1100,Healthcare,-55,1045,0,1045,Active,female,Rowlett, Texas,Toddler,Beethoven,FD
8/1/2022,1050,Healthcare,-52.5,997.5,0,997.5,Active,male,Sachse, Texas,Upper Elementary,Einstein,FD
8/1/2022,1050,Healthcare,-52.5,997.5,-997.5,0,Active,male,Sachse, Texas,Upper Elementary,Einstein,FD
8/1/2022,1018.5,Healthcare,-142.98,875.52,0,875.52,Inactive,female,,,Primary,,5SD
8/1/2022,1018.5,Healthcare,-142.98,875.52,0,875.52,Inactive,female,,,Primary,,5SD
8/1/2022,1018.5,Military,-50.92,967.58,-46.08,921.5,Inactive,male,,,Lower Elementary,,5SD
8/1/2022,1100,Military,-50,1050,0,1050,Active,male,Garland, Texas,Primary,Chevalier,FD
8/1/2022,1100,Military,-50,1050,0,1050,Active,male,Garland, Texas,Primary,Chevalier,5SD
8/1/2022,1100,Military,-50,1050,0,1050,Active,male,Garland, Texas,Primary,Chevalier,FD
8/1/2022,1133,Military,-114.5,1018.5,0,1018.5,Active,male,Garland, Texas,Upper Elementary,Einstein,FD
8/1/2022,1155,Military,-55,1100,0,1100,Active,female,Garland, Texas,Toddler,Monet,FD
8/1/2022,1155,Military,-55,1100,-55,1045,Active,male,Garland, Texas,Toddler,Monet,FD
8/1/2022,1100,Military,-50,1050,0,1050,Active,female,Garland, Texas,Toddler,Monet,FD
8/1/2022,1100,Military,-50,1050,0,1050,Active,male,Garland, Texas,Primary,Van Gogh,FD
8/1/2022,1100,Military,-50,1050,0,1050,Active,female,Garland, Texas,Primary,Van Gogh,FD
8/1/2022,1000,Military,-50,950,0,950,Active,female,Garland, Texas,Primary,Van Gogh,FD
8/1/2022,1100,Military,-50,1050,0,1050,Active,female,Plano, Texas,Toddler,Monet,FD
8/1/2022,1100,Military,-50,1050,0,1050,Active,male,Richardson, Texas,Primary,Chevalier,FD
8/1/2022,1000,Military,-50,950,0,950,Active,female,Richardson, Texas,Upper Elementary,Einstein,5SD
8/1/2022,1155,Military,-55,1100,0,1100,Active,female,Richardson, Texas,Toddler,Monet,FD
8/1/2022,1155,Military,-55,1100,0,1100,Active,male,Rockwall, Texas,Toddler,Monet,FD
8/1/2022,1100,Military,-50,1050,0,1050,Active,female,Rowlett, Texas,Primary,Van Gogh,5SD
8/1/2022,950,Military,-100,850,0,850,Active,female,Sachse, Texas,Lower Elementary,Newton,5SD
8/1/2022,900,Military,-100,800,0,800,Active,female,Sachse, Texas,Primary,Cassatt,5SD
8/1/2022,1050,Military,-50,1000,-50,950,Inactive,male,Garland, Texas,Upper Elementary,Einstein,FD
8/1/2022,1000,Military,-50,950,0,950,Inactive,male,,,Primary,,FD
8/1/2022,950,Sibling ,-100,850,0,850,Inactive,female,,,Primary,,5HD
8/1/2022,1100,Sibling ,-50,1050,0,1050,Inactive,male,,,Primary,,FD
8/1/2022,950,Sibling ,-100,850,-850,0,Inactive,female,,,Primary,,5SD
8/1/2022,1000,Sibling ,-50,950,0,950,Inactive,male,,,Lower Elementary,,5SD
8/1/2022,1050,Sibling ,-50,1000,0,1000,Inactive,male,,,Lower Elementary,,FD
8/1/2022,1018.5,Sibling ,-96.9,921.6,0,921.6,Inactive,female,,,Lower Elementary,,FD
8/1/2022,1050,Sibling ,-100,950,-950,0,Active,female,Garland, Texas,Lower Elementary,Newton,5SD
8/1/2022,1018.5,Sibling ,-186.76,831.74,0,831.74,Active,female,Garland, Texas,Lower Elementary,Newton,FD
8/1/2022,1000,Sibling ,-97.5,902.5,0,902.5,Active,female,Garland, Texas,Primary,Cassatt,FD
8/1/2022,1000,Sibling ,-97.5,902.5,0,902.5,Active,male,Garland, Texas,Primary,Chevalier,FD
8/1/2022,1100,Sibling ,-55,1045,0,1045,Active,male,Garland, Texas,Primary,Chevalier,5SD
8/1/2022,1000,Sibling ,-142.62,857.38,0,857.38,Active,female,Garland, Texas,Primary,Van Gogh,FD
8/1/2022,1000,Sibling ,-97.5,902.5,0,902.5,Active,female,Plano, Texas,Lower Elementary,Newton,5SD
